"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Population - 2022","2022","Tallaght-Killinardan, South Dublin","Number","3878"
"Population - 2022","2022","Tallaght-Kilnamanagh, South Dublin","Number","4394"
"Population - 2022","2022","Tallaght-Kiltipper, South Dublin","Number","9432"
"Population - 2022","2022","Tallaght-Kingswood, South Dublin","Number","4291"
"Population - 2022","2022","Tallaght-Millbrook, South Dublin","Number","3338"
"Population - 2022","2022","Tallaght-Oldbawn, South Dublin","Number","4445"
"Population - 2022","2022","Tallaght-Springfield, South Dublin","Number","11297"
"Population - 2022","2022","Tallaght-Tymon, South Dublin","Number","5138"
"Population - 2022","2022","Templeogue Village, South Dublin","Number","2270"
"Population - 2022","2022","Templeogue-Cypress, South Dublin","Number","2807"
"Population - 2022","2022","Templeogue-Kimmage Manor, South Dublin","Number","4929"
"Population - 2022","2022","Templeogue-Limekiln, South Dublin","Number","3821"
"Population - 2022","2022","Templeogue-Orwell, South Dublin","Number","1991"
"Population - 2022","2022","Templeogue-Osprey, South Dublin","Number","2258"
"Population - 2022","2022","Terenure-Cherryfield, South Dublin","Number","2229"
"Population - 2022","2022","Terenure-Greentrees, South Dublin","Number","2948"
"Population - 2022","2022","Terenure-St. James, South Dublin","Number","2404"
"Population - 2022","2022","Airport, Fingal","Number","6152"
"Population - 2022","2022","Balbriggan Rural, Fingal","Number","19347"
"Population - 2022","2022","Balbriggan Urban, Fingal","Number","8102"
"Population - 2022","2022","Baldoyle, Fingal","Number","8096"
"Population - 2022","2022","Balgriffin, Fingal","Number","5544"
"Population - 2022","2022","Ballyboghil, Fingal","Number","1629"
"Population - 2022","2022","Balscadden, Fingal","Number","743"
"Population - 2022","2022","Blanchardstown-Abbotstown, Fingal","Number","6551"
"Population - 2022","2022","Blanchardstown-Blakestown, Fingal","Number","43905"
"Population - 2022","2022","Blanchardstown-Coolmine, Fingal","Number","11271"
"Population - 2022","2022","Blanchardstown-Corduff, Fingal","Number","3689"
"Population - 2022","2022","Blanchardstown-Delwood, Fingal","Number","5144"
"Population - 2022","2022","Blanchardstown-Mulhuddart, Fingal","Number","4219"
"Population - 2022","2022","Blanchardstown-Roselawn, Fingal","Number","1647"
"Population - 2022","2022","Blanchardstown-Tyrrelstown, Fingal","Number","3343"
"Population - 2022","2022","Castleknock-Knockmaroon, Fingal","Number","20967"
"Population - 2022","2022","Castleknock-Park, Fingal","Number","6355"
"Population - 2022","2022","Clonmethan, Fingal","Number","933"
"Population - 2022","2022","Donabate, Fingal","Number","11783"
"Population - 2022","2022","Dubber, Fingal","Number","8931"
"Population - 2022","2022","Garristown, Fingal","Number","1801"
"Population - 2022","2022","Hollywood, Fingal","Number","1476"
"Population - 2022","2022","Holmpatrick, Fingal","Number","4147"
"Population - 2022","2022","Howth, Fingal","Number","8399"
"Population - 2022","2022","Kilsallaghan, Fingal","Number","2406"
"Population - 2022","2022","Kinsaley, Fingal","Number","11470"
"Population - 2022","2022","Lucan North, Fingal","Number","1765"
"Population - 2022","2022","Lusk, Fingal","Number","10774"
"Population - 2022","2022","Malahide East, Fingal","Number","8406"
"Population - 2022","2022","Malahide West, Fingal","Number","6014"
"Population - 2022","2022","Portmarnock North, Fingal","Number","4048"
"Population - 2022","2022","Portmarnock South, Fingal","Number","4729"
"Population - 2022","2022","Rush, Fingal","Number","11116"
"Population - 2022","2022","Skerries, Fingal","Number","8880"
"Population - 2022","2022","Sutton, Fingal","Number","5789"
"Population - 2022","2022","Swords Village, Fingal","Number","2786"
"Population - 2022","2022","Swords-Forrest, Fingal","Number","15926"
"Population - 2022","2022","Swords-Glasmore, Fingal","Number","7674"
"Population - 2022","2022","Swords-Lissenhall, Fingal","Number","12065"
"Population - 2022","2022","Swords-Seatown, Fingal","Number","7465"
"Population - 2022","2022","The Ward, Fingal","Number","13289"
"Population - 2022","2022","Turnapin, Fingal","Number","1730"
"Population - 2022","2022","Ballinteer-Broadford, Dún Laoghaire-Rathdown","Number","2480"
"Population - 2022","2022","Ballinteer-Ludford, Dún Laoghaire-Rathdown","Number","2110"
"Population - 2022","2022","Ballinteer-Marley, Dún Laoghaire-Rathdown","Number","2222"
"Population - 2022","2022","Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown","Number","1696"
"Population - 2022","2022","Ballinteer-Meadowmount, Dún Laoghaire-Rathdown","Number","1828"
"Population - 2022","2022","Ballinteer-Woodpark, Dún Laoghaire-Rathdown","Number","5323"
"Population - 2022","2022","Ballybrack, Dún Laoghaire-Rathdown","Number","2872"
"Population - 2022","2022","Blackrock-Booterstown, Dún Laoghaire-Rathdown","Number","3629"
"Population - 2022","2022","Blackrock-Carysfort, Dún Laoghaire-Rathdown","Number","6232"
"Population - 2022","2022","Blackrock-Central, Dún Laoghaire-Rathdown","Number","3774"
"Population - 2022","2022","Blackrock-Glenomena, Dún Laoghaire-Rathdown","Number","2000"
"Population - 2022","2022","Blackrock-Monkstown, Dún Laoghaire-Rathdown","Number","3422"
"Population - 2022","2022","Blackrock-Newpark, Dún Laoghaire-Rathdown","Number","2278"
"Population - 2022","2022","Blackrock-Seapoint, Dún Laoghaire-Rathdown","Number","1519"
"Population - 2022","2022","Blackrock-Stradbrook, Dún Laoghaire-Rathdown","Number","2612"
"Population - 2022","2022","Blackrock-Templehill, Dún Laoghaire-Rathdown","Number","2810"
"Population - 2022","2022","Blackrock-Williamstown, Dún Laoghaire-Rathdown","Number","2876"
"Population - 2022","2022","Cabinteely-Granitefield, Dún Laoghaire-Rathdown","Number","2713"
"Population - 2022","2022","Cabinteely-Kilbogget, Dún Laoghaire-Rathdown","Number","2683"
"Population - 2022","2022","Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown","Number","5362"
"Population - 2022","2022","Cabinteely-Pottery, Dún Laoghaire-Rathdown","Number","5106"
"Population - 2022","2022","Churchtown-Castle, Dún Laoghaire-Rathdown","Number","1911"
"Population - 2022","2022","Churchtown-Landscape, Dún Laoghaire-Rathdown","Number","1446"
"Population - 2022","2022","Churchtown-Nutgrove, Dún Laoghaire-Rathdown","Number","3190"
"Population - 2022","2022","Churchtown-Orwell, Dún Laoghaire-Rathdown","Number","1968"
"Population - 2022","2022","Churchtown-Woodlawn, Dún Laoghaire-Rathdown","Number","1529"
"Population - 2022","2022","Clonskeagh-Belfield, Dún Laoghaire-Rathdown","Number","3754"
"Population - 2022","2022","Clonskeagh-Farranboley, Dún Laoghaire-Rathdown","Number","1751"
"Population - 2022","2022","Clonskeagh-Milltown, Dún Laoghaire-Rathdown","Number","2252"
"Population - 2022","2022","Clonskeagh-Roebuck, Dún Laoghaire-Rathdown","Number","3365"
"Population - 2022","2022","Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown","Number","3020"
"Population - 2022","2022","Dalkey Hill, Dún Laoghaire-Rathdown","Number","1536"
"Population - 2022","2022","Dalkey Upper, Dún Laoghaire-Rathdown","Number","2144"
"Population - 2022","2022","Dalkey-Avondale, Dún Laoghaire-Rathdown","Number","1439"
"Population - 2022","2022","Dalkey-Bullock, Dún Laoghaire-Rathdown","Number","1802"
"Population - 2022","2022","Dalkey-Coliemore, Dún Laoghaire-Rathdown","Number","1354"
"Population - 2022","2022","Dundrum-Balally, Dún Laoghaire-Rathdown","Number","8844"
"Population - 2022","2022","Dundrum-Kilmacud, Dún Laoghaire-Rathdown","Number","3495"
"Population - 2022","2022","Dundrum-Sandyford, Dún Laoghaire-Rathdown","Number","7638"
"Population - 2022","2022","Dundrum-Sweetmount, Dún Laoghaire-Rathdown","Number","2689"
"Population - 2022","2022","Dundrum-Taney, Dún Laoghaire-Rathdown","Number","2748"
"Population - 2022","2022","Dún Laoghaire-East Central, Dún Laoghaire-Rathdown","Number","2604"
"Population - 2022","2022","Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown","Number","2982"
"Population - 2022","2022","Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown","Number","4516"
"Population - 2022","2022","Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown","Number","2321"
"Population - 2022","2022","Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown","Number","1915"
"Population - 2022","2022","Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown","Number","2941"
"Population - 2022","2022","Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown","Number","1434"
