division_name,formatted_address,lat,lng,status,error,route_count,total_departures
Rathmines East C,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rathmines East D,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rathmines West A,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rathmines West B,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rathmines West C,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rathmines West D,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rathmines West E,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rathmines West F,Rathmines, Dublin, Ireland,53.3218816,-6.2655052,success,,16,614
Rotunda A,Rotunda, Dublin, Ireland,53.3548931,-6.261705,success,,47,1944
Rotunda B,Ireland,53.77975540000001,-7.3055309,success,,,
Royal Exchange A,Dame St, Dublin, D02 DF20, Ireland,53.34404809999999,-6.267214399999999,success,,82,2275
Royal Exchange B,Ireland,53.77975540000001,-7.3055309,success,,,
Saint Kevin's,Saint Kevin's, Dublin, Ireland,53.3340881,-6.2630029,success,,68,1808
South Dock,Unit 17/18, South Ring Business Park, Kinsale Rd, Ballyphehane, Cork, Co. Cork, T12 N6KR, Ireland,51.8748038,-8.475949,success,,9,594
Terenure A,Terenure, Dublin, Ireland,53.31041579999999,-6.2898931,success,,16,892
Terenure B,Terenure, Dublin, Ireland,53.31041579999999,-6.2898931,success,,16,892
Terenure C,Terenure, Dublin, Ireland,53.31041579999999,-6.2898931,success,,16,892
Terenure D,Terenure, Dublin, Ireland,53.31041579999999,-6.2898931,success,,16,892
Ushers A,Ireland,53.77975540000001,-7.3055309,success,,,
Ushers B,Ireland,53.77975540000001,-7.3055309,success,,,
Ushers C,Ireland,53.77975540000001,-7.3055309,success,,,
Ushers D,Brackenstown, The Ward, Co. Dublin, Ireland,53.4575501,-6.2538996,success,,6,222
Ushers E,Ireland,53.77975540000001,-7.3055309,success,,,
